"ObjectClass","Name","whenCreated","whenChanged","DistinguishedName"
"top","ms-DS-Quota-Container","1/28/2007 6:54:20 AM","5/13/2021 2:39:02 PM","CN=ms-DS-Quota-Container,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Key-Credential-Link-BL","8/27/2019 2:59:01 PM","5/13/2021 2:39:05 PM","CN=ms-DS-Key-Credential-Link-BL,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Quota-Control","1/28/2007 6:54:20 AM","5/13/2021 2:39:02 PM","CN=ms-DS-Quota-Control,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Key-Id","8/27/2019 2:58:56 PM","5/13/2021 2:39:05 PM","CN=ms-DS-Key-Id,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Quota-Effective","1/28/2007 6:54:17 AM","5/13/2021 2:39:03 PM","CN=ms-DS-Quota-Effective,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Key-Material","8/27/2019 2:58:56 PM","5/13/2021 2:39:05 PM","CN=ms-DS-Key-Material,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Quota-Trustee","1/28/2007 6:54:16 AM","5/13/2021 2:39:03 PM","CN=ms-DS-Quota-Trustee,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Quota-Used","1/28/2007 6:54:15 AM","5/13/2021 2:39:03 PM","CN=ms-DS-Quota-Used,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Registered-Owner","11/15/2017 4:32:07 PM","5/13/2021 2:39:05 PM","CN=ms-DS-Registered-Owner,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Registered-Users","11/15/2017 4:32:07 PM","5/13/2021 2:39:05 PM","CN=ms-DS-Registered-Users,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Registration-Quota","11/15/2017 4:32:03 PM","5/13/2021 2:39:05 PM","CN=ms-DS-Registration-Quota,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Repl-Attribute-Meta-Data","1/28/2007 6:51:29 AM","5/13/2021 2:39:03 PM","CN=ms-DS-Repl-Attribute-Meta-Data,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Repl-Value-Meta-Data","1/28/2007 6:51:29 AM","5/13/2021 2:39:03 PM","CN=ms-DS-Repl-Value-Meta-Data,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Repl-Value-Meta-Data-Ext","11/15/2017 4:32:10 PM","5/13/2021 2:39:05 PM","CN=ms-DS-Repl-Value-Meta-Data-Ext,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","MS-DS-Replicates-NC-Reason","10/21/1630 4:21:05 PM","5/13/2021 2:39:03 PM","CN=MS-DS-Replicates-NC-Reason,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Replication-Notify-First-DSA-Delay","1/28/2007 6:50:26 AM","5/13/2021 2:39:03 PM","CN=ms-DS-Replication-Notify-First-DSA-Delay,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Replication-Notify-Subsequent-DSA-Delay","1/28/2007 6:50:06 AM","5/13/2021 2:39:03 PM","CN=ms-DS-Replication-Notify-Subsequent-DSA-Delay,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-ReplicationEpoch","1/28/2007 6:52:13 AM","5/13/2021 2:39:03 PM","CN=ms-DS-ReplicationEpoch,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Required-Domain-Behavior-Version","6/22/2011 3:53:21 PM","5/13/2021 2:39:03 PM","CN=ms-DS-Required-Domain-Behavior-Version,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Required-Forest-Behavior-Version","6/22/2011 3:53:22 PM","5/13/2021 2:39:03 PM","CN=ms-DS-Required-Forest-Behavior-Version,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Resource-Properties","8/23/2014 2:46:58 AM","5/13/2021 2:39:05 PM","CN=ms-DS-Resource-Properties,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Resource-Property","8/23/2014 2:46:58 AM","5/13/2021 2:39:05 PM","CN=ms-DS-Resource-Property,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Resource-Property-List","8/23/2014 2:46:57 AM","5/13/2021 2:39:05 PM","CN=ms-DS-Resource-Property-List,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Revealed-DSAs","6/22/2011 3:45:35 PM","5/13/2021 2:39:03 PM","CN=ms-DS-Revealed-DSAs,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Resultant-PSO","6/22/2011 3:47:49 PM","5/13/2021 2:39:03 PM","CN=ms-DS-Resultant-PSO,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Revealed-List","6/22/2011 3:45:32 PM","5/13/2021 2:39:03 PM","CN=ms-DS-Revealed-List,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Retired-Repl-NC-Signatures","1/28/2007 6:53:48 AM","5/13/2021 2:39:03 PM","CN=ms-DS-Retired-Repl-NC-Signatures,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Revealed-List-BL","6/22/2011 3:46:37 PM","5/13/2021 2:39:03 PM","CN=ms-DS-Revealed-List-BL,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Reveal-OnDemand-Group","6/22/2011 3:45:34 PM","5/13/2021 2:39:03 PM","CN=ms-DS-Reveal-OnDemand-Group,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Revealed-Users","6/22/2011 3:45:31 PM","5/13/2021 2:39:03 PM","CN=ms-DS-Revealed-Users,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-RID-Pool-Allocation-Enabled","8/23/2014 2:47:10 AM","5/13/2021 2:39:05 PM","CN=ms-DS-RID-Pool-Allocation-Enabled,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
